id,name,age,profession,city,salary
100,Julie Collins,24,journalist,North Betty,9887
101,Stephanie Burton,33,fireman,Ashleyfurt,6431
102,Tracie Hardin,28,software engineer,North Nancyton,5785
103,Theresa Myers,49,doctor,North Melissahaven,4876
104,Connie Petty,69,ml engineer,New Alyssa,6995
105,Brian Garza,26,police,New Rodney,5231
106,Carrie Blanchard,34,designer,North Heatherside,4686
107,Morgan Harris,35,ml engineer,Longstad,5740
108,Ronald Bradford,52,teacher,Christophershire,3410
109,Kenneth Reed,41,fireman,Hoborough,1191
110,Joshua Smith,43,singer,Port James,11051
111,Emily Roberts,39,journalist,West Claireburgh,9515
112,Paul Sanchez,55,musician,New Juliestad,9177
113,Amy Burns,69,software engineer,Lake Karenbury,1275
114,Katherine Howard,45,singer,Hansonmouth,8229
115,Brooke Houston,69,fireman,Timothystad,6965
116,Frank Moore,19,software engineer,South Kimberlyberg,7830
117,John Shaw,43,software engineer,Madisonburgh,6972
118,Rita Allen,64,lawyer,Lopezshire,4098
119,Mark Dean,50,software engineer,Port Jacobton,7296
